;Revoluciones reales [1/min];Potencia real [kW];Presión de carga [bar];Pot. teórica de carga [bar];Temp. sobr. [°C];Pos. válvula mariposa [%];Pos. válvula mariposa [%];Válv. lambda dosif. gas [];Tensión de excitación [V];Potencia reactiva [kvar];
25/06/2022 11:07:12;1500;999;2,48399996757507;2,48399996757507;45,5;100;41,2000007629395;1,54299998283386;21;206;
25/06/2022 11:07:23;1500;1003;2,48699998855591;2,49200010299683;45,2000007629395;100;41,2000007629395;1,54299998283386;21;205;
25/06/2022 11:07:32;1500;998;2,48200011253357;2,4779999256134;45;100;41,2000007629395;1,54299998283386;21;206;
25/06/2022 11:07:42;1501;1002;2,48499989509583;2,48600006103516;44,7999992370605;100;41,4000015258789;1,54299998283386;21;200;
25/06/2022 11:07:53;1500;1000;2,47900009155273;2,47900009155273;44,7999992370605;100;41,2999992370605;1,54299998283386;20,7999992370605;204;
25/06/2022 11:08:02;1499;999;2,4779999256134;2,4779999256134;44,7000007629395;100;41,2000007629395;1,54299998283386;21,1000003814697;204;
25/06/2022 11:08:12;1498;1000;2,48499989509583;2,48099994659424;44,7000007629395;100;41;1,54299998283386;21;202;
25/06/2022 11:08:23;1500;1001;2,48000001907349;2,48099994659424;44,7000007629395;100;41,2000007629395;1,54299998283386;21,1000003814697;207;
25/06/2022 11:08:32;1499;999;2,48000001907349;2,4779999256134;44,7000007629395;100;41,2000007629395;1,54299998283386;20,8999996185303;205;
25/06/2022 11:08:42;1499;1001;2,48200011253357;2,48300004005432;44,7000007629395;100;41,2000007629395;1,54299998283386;21;207;
25/06/2022 11:08:53;1499;1001;2,47900009155273;2,48300004005432;44,7000007629395;100;41,2999992370605;1,54299998283386;21,1000003814697;203;
25/06/2022 11:09:02;1500;999;2,48099994659424;2,4779999256134;44,7000007629395;100;41,2999992370605;1,54299998283386;20,8999996185303;202;
25/06/2022 11:09:13;1500;998;2,48000001907349;2,4760000705719;44,7000007629395;100;41,2999992370605;1,54299998283386;21,1000003814697;204;
25/06/2022 11:09:23;1500;1001;2,48000001907349;2,48300004005432;44,7000007629395;100;41,2999992370605;1,54299998283386;20,8999996185303;201;
25/06/2022 11:09:32;1499;999;2,4760000705719;2,4779999256134;44,7000007629395;100;41,2000007629395;1,54299998283386;20,8999996185303;203;
25/06/2022 11:09:42;1500;998;2,48200011253357;2,4779999256134;44,7000007629395;100;41,4000015258789;1,54299998283386;21;204;
25/06/2022 11:09:53;1500;1001;2,48200011253357;2,48499989509583;44,7000007629395;100;41,2999992370605;1,54299998283386;21;204;
25/06/2022 11:10:02;1499;998;2,4779999256134;2,4760000705719;44,7000007629395;100;41,2999992370605;1,54299998283386;20,8999996185303;207;
25/06/2022 11:10:12;1499;1001;2,48000001907349;2,48300004005432;44,7000007629395;100;41,4000015258789;1,54299998283386;21;203;
25/06/2022 11:10:22;1498;998;2,4779999256134;2,47699999809265;44,7999992370605;100;41,2999992370605;1,54299998283386;21;191;
25/06/2022 11:10:32;1499;999;2,47900009155273;2,47900009155273;44,7999992370605;100;41,2999992370605;1,54299998283386;21,1000003814697;192;
25/06/2022 11:10:42;1499;996;2,4779999256134;2,47199988365173;44,7999992370605;100;41,2000007629395;1,54299998283386;20,8999996185303;205;
25/06/2022 11:10:53;1499;1001;2,48099994659424;2,48399996757507;44,7999992370605;100;41,2000007629395;1,54299998283386;21,2000007629395;213;
25/06/2022 11:11:02;1499;1000;2,48000001907349;2,48200011253357;44,7999992370605;100;41,4000015258789;1,54299998283386;21,2000007629395;202;
25/06/2022 11:11:12;1499;1001;2,48099994659424;2,48399996757507;44,9000015258789;100;41,2000007629395;1,54299998283386;21,1000003814697;203;
25/06/2022 11:11:23;1499;1001;2,48300004005432;2,48399996757507;44,9000015258789;100;41,2000007629395;1,54299998283386;21,1000003814697;195;
25/06/2022 11:11:32;1500;1000;2,48300004005432;2,48200011253357;44,9000015258789;100;41,4000015258789;1,54299998283386;20,8999996185303;201;
25/06/2022 11:11:42;1500;998;2,47699999809265;2,4779999256134;45;100;41,0999984741211;1,54299998283386;20,7999992370605;203;
25/06/2022 11:11:53;1500;1001;2,48099994659424;2,48799991607666;45;100;41,4000015258789;1,54299998283386;20,7999992370605;207;
25/06/2022 11:12:02;1499;998;2,48200011253357;2,4779999256134;45;100;41,2000007629395;1,5440000295639;20,8999996185303;202;
25/06/2022 11:12:12;1499;998;2,48499989509583;2,4779999256134;45;100;41,2000007629395;1,54299998283386;21,2000007629395;204;
25/06/2022 11:12:23;1499;997;2,48399996757507;2,4760000705719;45,0999984741211;100;41,2000007629395;1,54299998283386;21;202;
25/06/2022 11:12:32;1500;1000;2,48699998855591;2,48600006103516;45,0999984741211;100;41,2999992370605;1,54299998283386;21;197;
25/06/2022 11:12:42;1500;999;2,48300004005432;2,48099994659424;45,0999984741211;100;41,0999984741211;1,54299998283386;21,2000007629395;211;
25/06/2022 11:12:53;1499;1000;2,48300004005432;2,48399996757507;45,0999984741211;100;41,2000007629395;1,5440000295639;21,1000003814697;204;
25/06/2022 11:13:02;1499;1002;2,48799991607666;2,48699998855591;45,2000007629395;100;41,2000007629395;1,5440000295639;20,8999996185303;204;
25/06/2022 11:13:12;1500;1001;2,48699998855591;2,48699998855591;45,2999992370605;100;41,2999992370605;1,5440000295639;20,8999996185303;204;
25/06/2022 11:13:23;1499;1001;2,48799991607666;2,48799991607666;45,2999992370605;100;41,0999984741211;1,54299998283386;21,1000003814697;203;
25/06/2022 11:13:32;1499;1000;2,48600006103516;2,48499989509583;45,2999992370605;100;41,2000007629395;1,5440000295639;21;208;
25/06/2022 11:13:42;1500;1000;2,48699998855591;2,48399996757507;45,4000015258789;100;41,2000007629395;1,5440000295639;20,8999996185303;201;
25/06/2022 11:13:53;1500;1000;2,48799991607666;2,48600006103516;45,4000015258789;100;41,2999992370605;1,5440000295639;21;201;
25/06/2022 11:14:02;1501;1002;2,48600006103516;2,4909999370575;45,4000015258789;100;41,2999992370605;1,5440000295639;21;203;
25/06/2022 11:14:12;1499;999;2,48699998855591;2,48099994659424;45,4000015258789;100;41,0999984741211;1,5440000295639;21,1000003814697;200;
25/06/2022 11:14:23;1499;999;2,48300004005432;2,48099994659424;45;100;41,2000007629395;1,5440000295639;21;198;
25/06/2022 11:14:32;1500;999;2,48000001907349;2,4779999256134;44,7000007629395;100;41,2000007629395;1,5440000295639;20,7999992370605;202;
25/06/2022 11:14:42;1500;1001;2,48099994659424;2,48200011253357;44,5999984741211;100;41,2000007629395;1,5440000295639;20,8999996185303;202;
25/06/2022 11:14:53;1500;1001;2,48300004005432;2,48399996757507;44,5;100;41,4000015258789;1,5440000295639;21;212;
25/06/2022 11:15:02;1500;1000;2,48000001907349;2,48099994659424;44,7000007629395;100;41,2999992370605;1,5440000295639;20,7999992370605;199;
25/06/2022 11:15:12;1500;1001;2,48600006103516;2,48799991607666;45,2999992370605;100;41,0999984741211;1,5440000295639;20,8999996185303;202;
25/06/2022 11:15:23;1500;998;2,48600006103516;2,48300004005432;45,5999984741211;100;41;1,5440000295639;21,2000007629395;199;
25/06/2022 11:15:32;1500;1004;2,48499989509583;2,49200010299683;45;100;41,2999992370605;1,5440000295639;20,8999996185303;201;
25/06/2022 11:15:42;1500;999;2,48399996757507;2,4779999256134;44,7000007629395;100;41,2999992370605;1,5440000295639;21;202;
25/06/2022 11:15:53;1500;1000;2,48200011253357;2,48000001907349;44,5999984741211;100;41,2000007629395;1,5440000295639;21;195;
25/06/2022 11:16:02;1500;1002;2,48099994659424;2,48200011253357;44,5999984741211;100;41,4000015258789;1,5440000295639;21,1000003814697;206;
25/06/2022 11:16:12;1500;1002;2,48099994659424;2,48600006103516;44,7999992370605;100;41,2999992370605;1,5440000295639;21,1000003814697;204;
25/06/2022 11:16:23;1499;1000;2,48200011253357;2,48099994659424;44,7999992370605;100;41,2999992370605;1,5440000295639;21,2000007629395;201;
25/06/2022 11:16:33;1500;1001;2,48399996757507;2,48399996757507;44,7999992370605;100;41,0999984741211;1,5440000295639;20,7999992370605;202;
25/06/2022 11:16:42;1500;1000;2,4779999256134;2,4779999256134;44,7000007629395;100;41,0999984741211;1,5440000295639;21;198;
25/06/2022 11:16:53;1499;1001;2,48099994659424;2,48300004005432;44,7000007629395;100;41,2999992370605;1,5440000295639;20,8999996185303;206;
25/06/2022 11:17:03;1500;1000;2,48300004005432;2,48099994659424;44,7000007629395;100;41,0999984741211;1,5440000295639;20,8999996185303;204;
25/06/2022 11:17:12;1500;1002;2,48000001907349;2,48499989509583;44,7000007629395;100;41,2999992370605;1,5440000295639;21;206;
25/06/2022 11:17:23;1500;1002;2,48399996757507;2,48499989509583;44,7000007629395;100;41,2000007629395;1,5440000295639;21;204;
25/06/2022 11:17:32;1500;1003;2,48099994659424;2,48799991607666;44,7000007629395;100;41,4000015258789;1,5440000295639;21,2000007629395;204;
25/06/2022 11:17:42;1501;1000;2,47900009155273;2,48099994659424;44,7000007629395;100;41,4000015258789;1,5440000295639;20,8999996185303;197;
25/06/2022 11:17:54;1501;1002;2,4779999256134;2,48499989509583;44,7000007629395;100;41,4000015258789;1,54499995708466;21,2000007629395;197;
25/06/2022 11:18:02;1500;998;2,48099994659424;2,47399997711182;44,7000007629395;100;41,0999984741211;1,54499995708466;20,8999996185303;197;
25/06/2022 11:18:12;1500;1002;2,48200011253357;2,48499989509583;44,7000007629395;100;41,2999992370605;1,5440000295639;21,2000007629395;208;
25/06/2022 11:18:23;1500;998;2,4779999256134;2,4760000705719;44,7000007629395;100;41,2000007629395;1,5440000295639;21,2999992370605;193;
25/06/2022 11:18:32;1500;1001;2,48000001907349;2,48300004005432;44,7000007629395;100;41,2000007629395;1,5440000295639;20,8999996185303;204;
25/06/2022 11:18:42;1499;998;2,47900009155273;2,4760000705719;44,7000007629395;100;41,0999984741211;1,5440000295639;20,7000007629395;204;
25/06/2022 11:18:53;1499;999;2,48000001907349;2,4779999256134;44,7000007629395;100;41,2000007629395;1,5440000295639;21,1000003814697;202;
25/06/2022 11:19:03;1500;1000;2,48000001907349;2,48099994659424;44,7000007629395;100;41,2000007629395;1,5440000295639;21,2000007629395;202;
25/06/2022 11:19:12;1500;1001;2,48099994659424;2,48300004005432;44,7999992370605;100;41,0999984741211;1,5440000295639;21,1000003814697;208;
